open,high,low,close,volume,timestamp
122,122,122,122,0.004545455,1381017600000
123.61,123.61,123.61,123.61,0.004545455,1381104000000
123.91,124.19,123.9,124.18,0.181436364,1381190400000
124.01687,124.01687,123.84,123.84,0.128318182,1381276800000
125.85,125.86,125.85,125.86,0.090909091,1381363200000
127.5,127.5,127,127,0.181818182,1381536000000
131.8408,131.8408,131.8408,131.8408,0.004545455,1381622400000
134.8,135.59,133.36726,135.59,0.545716062,1381708800000
135.8,153,133.87975,133.87975,0.195454545,1381795200000
143,146.14,137.63758,138.09,0.9195,1381881600000
137.62448,144.73,137.52,143.79522,0.262590909,1381968000000
146.2399,153.80147,146.2399,149.04856,1.0705,1382054400000
157.74,171.25,157.64,165.56,3.2975,1382140800000
166.52626,166.52626,162.981,162.981,0.220382638,1382227200000
165,176.65277,165,176.32429,0.831940455,1382313600000
181.97,194.2,150,150,0.33526713,1382400000000
191.62198,203.45,185.90287,203.45,1.782727273,1382486400000
203.67412,207.30246,169.9201,193.0999,3.805498874,1382572800000
172.27,186.8,171.97,186.0499,3.054545455,1382659200000
