high,low,close,volume,timestamp
27850.9736,27844.79814,27844.79814,1531.631632,1.68057E+12
27844.95933,27844.79814,27844.95933,39.97925672,1.68057E+12
27844.95933,27837.10254,27837.10254,1948.872146,1.68057E+12
27837.14286,27837.10254,27837.14286,10.00190608,1.68057E+12
27854.67286,27837.14286,27854.65674,4351.926234,1.68057E+12
27860.94793,27854.65674,27860.94793,1560.05838,1.68057E+12
27909.63329,27860.94793,27909.63329,8254.523594,1.68058E+12
27937.62498,27909.63329,27937.60956,4607.350057,1.68058E+12
27937.60956,27937.60956,27937.60956,51589.34118,1.68058E+12
27941.76454,27937.60956,27941.76454,799.6990005,1.68058E+12
27941.84342,27941.73793,27941.84342,25.42475603,1.68058E+12
27941.90571,27941.73819,27941.73819,44.22891581,1.68058E+12
27941.73819,27908.03425,27908.03425,6488.632759,1.68058E+12
27908.06956,27907.86083,27907.86083,69.0431015,1.68058E+12
27908.08408,27907.86083,27908.08408,69.93,1.68058E+12
27908.17976,27908.08408,27908.17976,0.000107892,1.68058E+12
27918.29562,27908.17976,27918.29562,3368.12353,1.68058E+12
27936.61072,27918.29562,27936.61072,5734.894824,1.68058E+12
27954.58707,27936.61072,27954.58707,5626.995651,1.68058E+12
27954.58707,27943.06838,27943.06838,3905.178378,1.68058E+12
27943.0687,27943.05552,27943.05552,4.22518584,1.68058E+12
27943.98125,27943.05552,27943.98125,289.7865044,1.68058E+12
27943.98125,27924.8302,27924.8302,6015.88482,1.68058E+12
27925.6597,27917.99169,27917.99169,2681.00061,1.68058E+12
27917.99169,27907.20833,27907.20833,3377.424539,1.68058E+12
27907.27212,27907.20833,27907.20833,40.959,1.68058E+12
27907.22873,27907.20833,27907.21152,11.77826456,1.68058E+12
27907.21327,27903.41056,27903.41056,1191.738075,1.68058E+12
27903.41077,27903.41056,27903.41077,0.066246188,1.68058E+12
27903.41077,27888.89622,27888.89622,5702.900836,1.68058E+12
27888.89622,27854.08175,27854.08175,10964.30307,1.68058E+12
27854.08175,27841.10312,27841.10312,4089.176974,1.68058E+12
27841.1269,27838.72833,27838.72833,766.5922815,1.68058E+12
27839.17216,27838.72833,27839.17216,139.86,1.68058E+12
27855.02565,27839.17216,27854.1995,5255.26026,1.68059E+12
27948.97969,27854.1995,27948.97969,31766.86594,1.68059E+12
27948.97969,27947.60843,27947.60843,430.4304304,1.68059E+12
27947.60843,27941.2309,27941.2309,2002.002002,1.68059E+12
27941.23186,27941.2309,27941.23186,0.299274426,1.68059E+12
27941.3592,27941.23186,27941.35825,40.27690814,1.68059E+12
27941.35825,27941.21473,27941.21473,4.996327671,1.68059E+12
27941.34202,27931.77708,27931.77708,3042.963003,1.68059E+12
27931.77708,27925.40137,27925.40137,2102.102102,1.68059E+12
27925.87856,27925.40137,27925.87856,149.85,1.68059E+12
28062.19427,27925.87856,28052.4343,44118.98002,1.68059E+12
28052.4343,28038.69587,28038.69587,3638.159319,1.68059E+12
28130.30537,28038.69587,28130.30537,30813.30316,1.68059E+12
28147.72421,28113.39913,28113.39913,17490.09022,1.68059E+12
28113.39913,28029.57586,28091.30241,38315.17605,1.68059E+12
28131.94749,28091.30241,28131.88326,10347.30464,1.68059E+12
28131.88326,28125.48253,28125.48253,2002.002002,1.68059E+12
28125.48253,28094.48697,28094.49655,8211.794805,1.68059E+12
28094.49655,28091.26143,28091.26143,1009.519073,1.68059E+12
28091.26143,28071.9396,28071.94253,4039.677749,1.68059E+12
28071.94253,28062.88911,28062.88911,2834.808442,1.68059E+12
28062.9465,28038.48855,28038.48855,6472.134216,1.68059E+12
28038.49174,28038.48855,28038.49174,0.999,1.68059E+12
28039.61046,28038.49169,28039.61046,350.5030558,1.68059E+12
28039.9453,28039.61046,28039.9453,104.895,1.6806E+12
28039.9453,28035.53855,28035.53855,1380.575962,1.6806E+12
28035.53855,27999.81596,27999.81596,11205.62833,1.6806E+12
28008.48205,27999.81596,28008.48205,2716.598295,1.6806E+12
28036.47207,28008.48205,28036.47207,8771.290159,1.6806E+12
28078.85894,28036.47207,28078.85705,13510.12844,1.6806E+12
28083.53922,28078.85705,28083.53922,1236.90308,1.6806E+12
28120.87733,28083.53922,28120.87733,11673.38315,1.6806E+12
28120.89331,28120.87733,28120.87733,10.989,1.6806E+12
28120.91001,28120.87733,28120.91001,447.6149761,1.6806E+12
28124.80933,28091.37524,28091.37524,11581.3113,1.6806E+12
28091.37524,28089.02046,28089.02094,1420.440838,1.6806E+12
28102.58104,28089.02094,28102.58104,3034.38258,1.6806E+12
28102.58106,28102.58104,28102.58106,0.007333659,1.6806E+12
28102.58108,28102.58106,28102.58108,0.005496498,1.6806E+12
28171.11615,28102.58108,28171.04574,24401.85317,1.6806E+12
28171.04863,28171.03901,28171.03901,8.115942259,1.6806E+12
28171.04135,28171.03901,28171.04135,0.731915852,1.6806E+12
28183.75799,28171.04135,28183.75799,3975.130766,1.6806E+12
28266.85823,28183.75799,28266.85823,26713.29713,1.6806E+12
28266.9039,28232.39056,28232.39056,9084.489614,1.6806E+12
28232.39056,28216.39597,28216.39597,4205.43506,1.6806E+12
28318.33823,28216.39597,28318.33823,25607.49438,1.6806E+12
28318.33823,28301.02074,28301.02074,4546.398545,1.6806E+12
28301.02074,28293.2218,28293.2218,2433.552406,1.6806E+12
28293.2218,28267.30899,28267.30899,8088.136827,1.6806E+12
28267.30899,28267.24487,28267.24487,20.02002002,1.6806E+12
28267.24487,28242.63282,28242.63282,7685.574435,1.6806E+12
28242.63282,28242.15209,28242.15225,150.2001002,1.68061E+12
28242.18475,28242.15225,28242.18475,10.22984004,1.68061E+12
28242.18475,28242.05318,28242.17793,88.02599636,1.68061E+12
28247.57842,28242.17793,28247.57842,1686.66165,1.68061E+12
28418.01924,28247.57842,28403.94922,47701.30725,1.68061E+12
28403.94922,28357.01335,28381.10608,24172.45285,1.68061E+12
28381.10608,28380.864,28380.864,25.21004463,1.68061E+12
28380.86464,28291.70324,28291.70324,28426.08902,1.68061E+12
28296.22869,28291.70324,28296.22869,1188.346567,1.68061E+12
28296.22869,28218.57282,28230.81298,25161.63723,1.68061E+12
28239.83575,28230.81298,28239.83575,2371.767216,1.68061E+12
28265.15803,28239.83575,28265.15803,7910.698334,1.68061E+12
28282.308,28265.15803,28282.308,5355.651056,1.68061E+12
28286.11274,28282.308,28286.11274,1187.936833,1.68061E+12
28326.98918,28286.11274,28326.98918,15327.18423,1.68061E+12
28326.98918,28306.92828,28306.92828,5067.34458,1.68061E+12
28306.92828,28278.379,28278.379,7963.077234,1.68061E+12
28278.60335,28278.379,28278.60335,70.0299,1.68061E+12
28328.49031,28278.60335,28328.49031,16324.03262,1.68061E+12
28350.06683,28314.01747,28334.03644,23023.17911,1.68061E+12
28334.03644,28267.39576,28267.39576,22167.58726,1.68061E+12
28267.39576,28259.06761,28259.06761,2600.217287,1.68061E+12
28263.33986,28259.06761,28263.33986,185.4228369,1.68061E+12
28353.74558,28263.3013,28353.74558,28707.11056,1.68061E+12
28353.74558,28335.10296,28335.10296,4877.641619,1.68061E+12
28335.10328,28327.45292,28327.45292,2380.027125,1.68061E+12
28327.45453,28323.62906,28323.62906,1190.671719,1.68061E+12
