high,low,close,volume,timestamp
21746.86349,21537.83788,21608.21633,159513.1305,1.67628E+12
21638.0499,21468.99325,21598.09323,127105.1219,1.67628E+12
21629.50836,21577.55332,21623.57522,22522.89187,1.67629E+12
21687.53677,21623.57522,21687.53677,18233.64007,1.67629E+12
21687.53677,21604.39366,21604.39366,24924.99523,1.67629E+12
21671.51121,21597.31989,21671.51121,23466.83858,1.6763E+12
21671.51121,21532.2623,21570.40466,64260.84278,1.6763E+12
21631.06222,21431.23881,21537.0308,147919.8262,1.6763E+12
21537.04475,21389.04727,21463.74135,90424.76035,1.67631E+12
21651.89128,21463.74135,21651.89128,79987.95054,1.67631E+12
21651.89128,21579.66317,21596.18205,32180.45951,1.67631E+12
21652.33834,21596.18205,21652.33834,22068.29573,1.67632E+12
21652.33864,21626.65767,21641.37352,14430.37739,1.67632E+12
21661.33656,21637.32939,21661.33656,9699.10317,1.67633E+12
21826.49787,21661.33656,21810.49294,88193.71309,1.67633E+12
21810.49294,21774.46396,21774.46396,29628.38637,1.67633E+12
21774.46396,21732.97669,21732.97669,14847.34177,1.67634E+12
21732.97669,21732.44534,21732.72663,459.6411337,1.67634E+12
21734.01102,21711.27947,21711.27947,8824.117872,1.67634E+12
21721.24972,21711.20245,21721.24972,3597.053144,1.67635E+12
21725.72123,21719.46438,21723.3813,5191.952812,1.67635E+12
21751.01591,21723.3813,21749.85985,10223.94476,1.67635E+12
21776.54743,21743.31885,21776.54743,14116.20764,1.67636E+12
21776.54743,21690.60832,21697.50147,39848.26921,1.67636E+12
21843.4828,21697.50147,21839.72705,52181.30207,1.67637E+12
21839.83224,21821.9133,21826.9272,10970.72123,1.67637E+12
21826.9272,21814.37446,21814.37446,4896.268613,1.67637E+12
21858.97741,21792.43495,21858.97741,65525.52064,1.67638E+12
21895.62557,21675.22502,21752.30673,131933.8224,1.67638E+12
22272.03594,21621.22475,22272.03594,213164.439,1.67638E+12
22315.41904,21902.25171,22035.982,216895.0114,1.67639E+12
22101.18008,21964.4626,21995.75733,61428.3819,1.67639E+12
22062.58333,21995.75733,22044.43836,28894.86536,1.67639E+12
22157.64923,22044.43836,22126.22973,43460.89665,1.6764E+12
22223.62693,22121.68307,22223.62693,38996.84226,1.6764E+12
22232.294,22223.62693,22232.294,2750.560125,1.6764E+12
22263.07572,22156.38777,22258.87153,69111.39914,1.67641E+12
22263.9418,22200.61391,22200.61391,22196.96203,1.67641E+12
22242.22636,22200.61391,22241.90827,14458.24888,1.67642E+12
22241.90827,22152.2395,22152.86812,32068.4023,1.67642E+12
22153.77962,22152.8678,22153.38289,416.0052114,1.67642E+12
22153.38289,22096.85373,22097.34815,21832.60118,1.67643E+12
22128.74961,22097.32243,22128.74961,10987.12398,1.67643E+12
22132.77987,22128.69118,22132.72166,1769.198546,1.67643E+12
22141.18188,22132.18601,22141.18188,3325.606585,1.67644E+12
22147.97592,22141.18188,22146.31,4571.93709,1.67644E+12
22165.17076,22146.31,22148.60882,11770.97104,1.67644E+12
22151.38191,22128.46786,22128.46809,8422.678439,1.67645E+12
22195.5187,22128.46809,22195.5187,27760.73746,1.67645E+12
22242.32164,22195.28556,22241.04,17619.24438,1.67646E+12
22460.44023,22241.04,22449.08438,86846.88369,1.67646E+12
